id,name,city,state,category,specialties,procedures,min_price,max_price,nabh_accredited,jci_accredited,insurance_schemes,lead_doctors,phone,email,website,address,lat,lng,international_patients,beds,gmap_link,technology_stack,avg_length_of_stay,lead_doctor_experience,image_url
aravind-eye-madurai,Aravind Eye Hospital Madurai,Madurai,Tamil Nadu,Eye Specialty,Ophthalmology,"Cataract Surgery,Glaucoma Surgery,Retinal Surgery,Corneal Transplant,LASIK,Pediatric Eye Surgery",5000,150000,Yes,No,"CMCHIS,PM-JAY,Private Insurance,Free Scheme",Dr. P. Namperumalsamy,+91-452-4356100,madurai.aravind@aravind.org,https://aravind.org,1 Anna Nagar Madurai 625020,9.9281,78.1147,Yes,800.0,"https://www.google.com/maps/search/?api=1&query=9.9281,78.1147","Zeiss VisuMax Femtosecond Laser, Constellation Vision System","Day Care, 2 Days Hotel",15+ Years,https://images.unsplash.com/photo-1538108149393-cebb47ac0925?q=80&w=1000&auto=format&fit=crop
mmhrc-madurai,Meenakshi Mission Hospital & Research Centre,Madurai,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Neurosurgery,Nephrology,Oncology,Orthopedics,Gastroenterology,Organ Transplant","Coronary Angioplasty,CABG Surgery,Brain Tumor Surgery,Kidney Transplant,Total Knee Replacement,Cancer Surgery,Spine Surgery",80000,2000000,Yes,No,"CMCHIS,PM-JAY,Private Insurance",Dr. S. Gurushankar,+91-452-4263000,info@mmhrc.in,https://mmhrc.in,Lake Area Melur Road Madurai 625107,9.9785,78.173,Yes,750.0,"https://www.google.com/maps/search/?api=1&query=9.9785,78.173","Proton Therapy, Varian TrueBeam Linear Accelerator","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
apollo-madurai,Apollo Specialty Hospitals Madurai,Madurai,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Orthopedics,Neurosurgery,Oncology,Nephrology","Coronary Angioplasty,CABG Surgery,Total Knee Replacement,Total Hip Replacement,Brain Tumor Surgery,Kidney Transplant",100000,2000000,Yes,No,"CMCHIS,PM-JAY,Private Insurance",,+91-452-2520121,madurai@apollohospitals.com,https://www.apollohospitals.com,Lakeview Road KK Nagar Madurai 625020,9.9312,78.1098,Yes,350.0,"https://www.google.com/maps/search/?api=1&query=9.9312,78.1098","Da Vinci Robotic System, Advanced Cath Labs, 3D Imaging","7 Days Hospital, 14 Days Hotel",25+ Years,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=1000&auto=format&fit=crop
kauvery-trichy,Kauvery Hospital Trichy (Tennur),Trichy,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Neurosurgery,Nephrology,Oncology,Orthopedics,Trauma","Coronary Angioplasty,CABG Surgery,Brain Tumor Surgery,Kidney Transplant,Total Knee Replacement,Spine Surgery",80000,1800000,Yes,No,"CMCHIS,PM-JAY,Private Insurance","Dr. Chandrakumar,Dr. S. Manivannan",+91-431-4077777,kmccontrichy@kauveryhospital.com,https://www.kauveryhospital.com,NO.91 Navalurkuttapattu Village Trichy-Dindigul Main Road Trichy 620009,10.805,78.6856,Yes,200.0,"https://www.google.com/maps/search/?api=1&query=10.805,78.6856","Proton Therapy, Varian TrueBeam Linear Accelerator","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
kauvery-heartcity-trichy,Kauvery Heart City Trichy,Trichy,Tamil Nadu,Cardiac Specialty,"Cardiac Surgery,Interventional Cardiology,Electrophysiology,Pediatric Cardiology","Coronary Angioplasty,CABG Surgery,Valve Replacement,TAVR,Pacemaker Implantation,ASD Closure,VSD Closure",100000,2000000,Yes,No,"CMCHIS,PM-JAY,Private Insurance",,+91-431-4077777,kmccontrichy@kauveryhospital.com,https://www.kauveryhospital.com,No-12/52 Alexandria Road Cantonment Trichy 620001,10.8267,78.6926,Yes,100.0,"https://www.google.com/maps/search/?api=1&query=10.8267,78.6926",Advanced Minimally Invasive & Laparoscopic Systems,"7 Days Hospital, 14 Days Hotel",15+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
aravind-eye-coimbatore,Aravind Eye Hospital Coimbatore,Coimbatore,Tamil Nadu,Eye Specialty,Ophthalmology,"Cataract Surgery,Glaucoma Surgery,Retinal Surgery,Corneal Transplant,LASIK,Pediatric Eye Surgery",5000,150000,Yes,No,"CMCHIS,PM-JAY,Private Insurance,Free Scheme",,+91-422-4356100,coimbatore.aravind@aravind.org,https://aravind.org,Cowly Brown Road RS Puram Coimbatore 641002,11.005,76.9538,Yes,500.0,"https://www.google.com/maps/search/?api=1&query=11.005,76.9538","Zeiss VisuMax Femtosecond Laser, Constellation Vision System","Day Care, 2 Days Hotel",15+ Years,https://images.unsplash.com/photo-1538108149393-cebb47ac0925?q=80&w=1000&auto=format&fit=crop
royal-care-cbr,Royal Care Super Speciality Hospital,Coimbatore,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Interventional Cardiology,Neurosurgery,Nephrology,Orthopedics,Liver Transplant,IVF","Coronary Angioplasty,CABG Surgery,Pacemaker Implantation,TAVI,Liver Transplant,Heart & Lung Transplantation,Brain Tumor Surgery,Kidney Transplant,Total Knee Replacement,Robotic Surgery,IVF Treatment",120000,2500000,Yes,No,"CMCHIS,PM-JAY,Private Insurance","Dr. S. Jeya Kumar,Dr. S. Krishna Kishor,Dr. G. Pradeep,Dr. M. Sivabalan,Dr. Dinesh Chidambaram",+91-422-4040000,info@royalcarehospital.in,https://www.royalcarehospital.in,No 1/520 Neelambur Sulur Taluk Coimbatore 641062,11.0375,77.0727,Yes,350.0,"https://www.google.com/maps/search/?api=1&query=11.0375,77.0727","Advanced Minimally Invasive Laparoscopic Systems, 128-slice CT","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
gknm-cbr,G. Kuppuswamy Naidu Memorial Hospital (GKNM),Coimbatore,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Interventional Cardiology,Neurosurgery,Nephrology,Oncology,Robotic Surgery,Pediatrics","Coronary Angioplasty,CABG Surgery,Valve Replacement,Heart Transplantation,TAVI,Brain Tumor Surgery,VP Shunt Surgery,Kidney Transplant,Robotic Surgery,Spine Surgery",100000,2500000,Yes,No,"CMCHIS,PM-JAY,Private Insurance","Dr. K.A. Sambasivam,Dr. M.R. Balasenthil,Dr. P. Shanmugam",+91-422-4305300,info@gknmhospital.in,https://www.gknmhospital.org,PB No 6327 Nethaji Road Pappanaickenpalayam Coimbatore 641037,11.0219,76.9611,Yes,600.0,"https://www.google.com/maps/search/?api=1&query=11.0219,76.9611","Proton Therapy, Varian TrueBeam Linear Accelerator","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
kg-hospital-cbr,KG Hospital,Coimbatore,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Neurosurgery,Orthopedics,Robotic Surgery,Nephrology,Spine Surgery","Coronary Angioplasty,CABG Surgery,Brain Tumor Surgery,Endoscopic Brain Surgery,Total Knee Replacement,Robotic Surgery,Spine Surgery,Kidney Stone Surgery",130000,600000,Yes,No,"CMCHIS,PM-JAY,Private Insurance","Dr. Srinivasan,Dr. S. Raj Kumar",+91-422-4225555,info@kghospitals.in,https://www.kghospitals.in,No.5 Govt Arts College Road Coimbatore 641018,11.0018,76.9629,Yes,400.0,"https://www.google.com/maps/search/?api=1&query=11.0018,76.9629","Advanced Minimally Invasive Laparoscopic Systems, 128-slice CT","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
kmch-cbr,Kovai Medical Center and Hospital (KMCH),Coimbatore,Tamil Nadu,Premium Multi-Specialty,"Cardiac Surgery,Interventional Cardiology,Electrophysiology,Neurosurgery,Nephrology,Oncology,Nuclear Medicine,Robotic Surgery","Coronary Angioplasty,CABG Surgery,Heart Transplantation,Brain Tumor Surgery,Deep Brain Stimulation,Stroke Treatment,Total Knee Replacement,Total Hip Replacement,Kidney Transplant,Liver Transplant,PET-CT Imaging,Robotic Surgery,Pacemaker Implantation",150000,2800000,Yes,No,"CMCHIS,PM-JAY,Private Insurance","Dr. Prashant Vaijyanath,Dr. P. Baskar,Dr. Thomas Alexander,Dr. M. Lawrance Jesuraj",+91-422-4323800,getwell@kmchhospitals.com,https://www.kmchhospitals.com,99 Avanashi Road Peelamedu Civil Aerodrome Post Coimbatore 641014,11.0215,77.0363,Yes,800.0,"https://www.google.com/maps/search/?api=1&query=11.0215,77.0363","Da Vinci Robotic System, Advanced Cath Labs, 3D Imaging","7 Days Hospital, 14 Days Hotel",25+ Years,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=1000&auto=format&fit=crop
psg-hospital-cbr,PSG Hospitals,Coimbatore,Tamil Nadu,University Teaching Hospital,"Cardiac Surgery,Interventional Cardiology,Neurosurgery,Nephrology,Orthopedics,Oncology,Robotic Surgery,Transplant","Coronary Angioplasty,CABG Surgery,Heart Transplantation,Lung Transplantation,Brain Tumor Surgery,Spine Surgery,Kidney Transplant,Total Knee Replacement,Total Hip Replacement,Robotic Surgery,Liver Transplant,Bone Marrow Transplant",110000,500000,Yes,No,"CMCHIS,PM-JAY,Private Insurance,Bajaj Allianz,Star Health,ICICI Lombard","Dr. P.R. Murugesan,Dr. R. Balakrishnan,Dr. Jayakumar Rajagopal",+91-7449108108,enquiry@psgimsr.ac.in,https://www.psghospitals.com,Avinashi Road Peelamedu Coimbatore 641004,11.0168,77.0277,Yes,1200.0,"https://www.google.com/maps/search/?api=1&query=11.0168,77.0277","Proton Therapy, Varian TrueBeam Linear Accelerator","7 Days Hospital, 14 Days Hotel",25+ Years,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=1000&auto=format&fit=crop
sri-ramakrishna-cbr,Sri Ramakrishna Hospital,Coimbatore,Tamil Nadu,Trust Hospital,"Cardiac Surgery,Interventional Cardiology,Nephrology,Orthopedics,Oncology,Gastroenterology,Liver Transplant","Coronary Angioplasty,CABG Surgery,Kidney Transplant,Total Knee Replacement,Liver Transplant,Stem Cell Transplantation,Chemotherapy,Haemodialysis",100000,450000,Yes,No,"CMCHIS,PM-JAY,Private Insurance,Aditya Birla,Bajaj Allianz,Star Health","Dr. P. Guhan,Dr. G. Krishna Shankar",+91-422-4500000,sriramakrishnahospital@snrsonstrust.org,https://www.sriramakrishnahospital.com,395 Sarojini Naidu Road Siddhapudur Coimbatore 641044,11.0104,76.9699,Yes,600.0,"https://www.google.com/maps/search/?api=1&query=11.0104,76.9699","Proton Therapy, Varian TrueBeam Linear Accelerator","7 Days Hospital, 14 Days Hotel",15+ Years,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=1000&auto=format&fit=crop
ganga-hospital-cbr,Ganga Hospital,Coimbatore,Tamil Nadu,Super Specialty,"Orthopedics,Trauma Surgery,Spine Surgery,Plastic Surgery,Neurosurgery,Sports Medicine,Hand Surgery","Brain Tumor Surgery,Complex Spine Surgery,Revision Knee Replacement,Total Knee Replacement,Total Hip Replacement,ACL Reconstruction,Arthroscopy,Robotic Knee Arthroplasty,Navigation-Assisted Spine Surgery,Microvascular Reconstruction",120000,800000,Yes,No,"CMCHIS,PM-JAY,Private Insurance,Star Health,Bajaj Allianz,Max Bupa","Prof. S. Rajasekaran,Dr. S. Raja Sabapathy,Dr. V. Rajesh Babu,Dr. Rishi Mugesh Kanna",+91-422-4399999,info@gangahospital.in,https://www.gangahospital.com,313 Near B11 Police Station Mettupalayam Road Coimbatore 641043,11.0231,76.9944,Yes,350.0,"https://www.google.com/maps/search/?api=1&query=11.0231,76.9944","Da Vinci Robotic System, Advanced Cath Labs, 3D Imaging","7 Days Hospital, 14 Days Hotel",25+ Years,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=1000&auto=format&fit=crop
fims-cbr,FIMS Hospital,Coimbatore,Tamil Nadu,Private Multi-Specialty,"Cardiac Surgery,Neurosurgery,Orthopedics","Coronary Angioplasty,CABG Surgery,Brain Tumor Surgery,Total Knee Replacement",100000,700000,Yes,No,"CMCHIS,PM-JAY","Dr. S. Murugadoss,Dr. K. Sakundhala",+91-422-2580123,info@fimshospital.com,,Coimbatore Tamil Nadu,11.0168,76.9629,No,,"https://www.google.com/maps/search/?api=1&query=11.0168,76.9629","Advanced Minimally Invasive Laparoscopic Systems, 128-slice CT","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
ortho-one-cbr,Ortho One Orthopaedic Specialty Hospital,Coimbatore,Tamil Nadu,Orthopedic Specialty,"Orthopedics,Joint Replacement,Sports Medicine,Arthroscopy","Total Knee Replacement,Total Hip Replacement,Arthroscopy,Shoulder Surgery,Revision Joint Replacement",80000,480000,Yes,No,"CMCHIS,PM-JAY",Dr. David V. Rajan,+91-422-2890123,info@orthoone.com,,Coimbatore Tamil Nadu,11.0168,76.9629,No,,"https://www.google.com/maps/search/?api=1&query=11.0168,76.9629",Advanced Minimally Invasive & Laparoscopic Systems,"4 Days Hospital, 10 Days Hotel",15+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
coimbatore-kidney-centre,Coimbatore Kidney Centre,Coimbatore,Tamil Nadu,Nephrology Specialty,"Nephrology,Urology","Kidney Transplant,Haemodialysis",500000,2500000,Yes,No,"CMCHIS,PM-JAY",Dr. P. Soundarapandian,+91-422-2901234,info@ckc.in,,Coimbatore Tamil Nadu,11.0168,76.9629,No,,"https://www.google.com/maps/search/?api=1&query=11.0168,76.9629",Advanced Minimally Invasive & Laparoscopic Systems,"3 Days Hospital, 7 Days Hotel",15+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
nehru-urology-cbr,Nehru Urology Centre,Coimbatore,Tamil Nadu,Urology Specialty,Urology,"Kidney Stone Surgery (PCNL),Kidney Stone Surgery (ESWL),Prostate Surgery",30000,200000,Yes,No,"CMCHIS,PM-JAY",,+91-422-2123456,info@nurology.com,,Coimbatore Tamil Nadu,11.0168,76.9629,No,,"https://www.google.com/maps/search/?api=1&query=11.0168,76.9629",Advanced Minimally Invasive & Laparoscopic Systems,"3 Days Hospital, 7 Days Hotel",15+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
cmch-coimbatore,Coimbatore Medical College Hospital (CMCH),Coimbatore,Tamil Nadu,Government Teaching Hospital,"Cardiac Surgery,Neurosurgery,Nephrology,Orthopedics,General Medicine,Pediatrics,Oncology","CABG Surgery,Coronary Angioplasty,Brain Tumor Surgery,Total Knee Replacement,Haemodialysis",5000,200000,No,No,"CMCHIS,PM-JAY,Free Government Scheme",Dr. R. Manomani,+91-422-2567890,cmch@tnhealth.gov.in,,Trichy Road Coimbatore Tamil Nadu,11.0038,76.9801,No,1500.0,"https://www.google.com/maps/search/?api=1&query=11.0038,76.9801","Proton Therapy, Varian TrueBeam Linear Accelerator","7 Days Hospital, 14 Days Hotel",15+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
kauvery-salem,Kauvery Hospital Salem,Salem,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Neurosurgery,Nephrology,Gastroenterology,Trauma,Critical Care","Coronary Angioplasty,CABG Surgery,Brain Tumor Surgery,Kidney Transplant,Laparoscopic Surgery",80000,1500000,Yes,No,"CMCHIS,PM-JAY,Private Insurance",,+91-427-2677777,care@kauveryhospital.com,https://www.kauveryhospital.com,Salem Tamil Nadu,11.6643,78.146,Yes,100.0,"https://www.google.com/maps/search/?api=1&query=11.6643,78.146","Advanced Minimally Invasive Laparoscopic Systems, 128-slice CT","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
aravind-eye-salem,Aravind Eye Hospital Salem,Salem,Tamil Nadu,Eye Specialty,Ophthalmology,"Cataract Surgery,Glaucoma Surgery,Retinal Surgery,LASIK,Corneal Transplant",5000,120000,Yes,No,"CMCHIS,PM-JAY,Free Scheme",,+91-427-4356100,salem.aravind@aravind.org,https://aravind.org,Near Karaburanathar Shivan Temple Veerapandi Salem 636010,11.6643,78.146,Yes,,"https://www.google.com/maps/search/?api=1&query=11.6643,78.146","Zeiss VisuMax Femtosecond Laser, Constellation Vision System","Day Care, 2 Days Hotel",15+ Years,https://images.unsplash.com/photo-1538108149393-cebb47ac0925?q=80&w=1000&auto=format&fit=crop
sri-gokulam-salem,Sri Gokulam Hospital Salem,Salem,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Neurosurgery,Orthopedics,Nephrology,Oncology","Coronary Angioplasty,CABG Surgery,Brain Tumor Surgery,Total Knee Replacement,Kidney Transplant",80000,1500000,Yes,No,"CMCHIS,PM-JAY,Private Insurance",,+91-427-2448171,info@srigokulam.com,,Near Five Roads Salem Tamil Nadu 636004,11.6793,78.1508,No,,"https://www.google.com/maps/search/?api=1&query=11.6793,78.1508","Proton Therapy, Varian TrueBeam Linear Accelerator","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
kauvery-tirunelveli,Kauvery Hospital Tirunelveli,Tirunelveli,Tamil Nadu,Multi-Specialty,"Cardiac Surgery,Neurosurgery,Nephrology,Orthopedics,Oncology,Critical Care","Coronary Angioplasty,CABG Surgery,Brain Tumor Surgery,Total Knee Replacement,Kidney Transplant,Laparoscopic Surgery",80000,1500000,Yes,No,"CMCHIS,PM-JAY,Private Insurance",,+91-462-4006000,care@kauveryhospital.com,https://www.kauveryhospital.com,Tirunelveli Tamil Nadu,8.7139,77.7567,Yes,,"https://www.google.com/maps/search/?api=1&query=8.7139,77.7567","Proton Therapy, Varian TrueBeam Linear Accelerator","7 Days Hospital, 14 Days Hotel",20+ Years,https://images.unsplash.com/photo-1551076805-e1869033e561?q=80&w=1000&auto=format&fit=crop
